[Vegetables/Grönsaker]
{en,sv}
artichoke,kronärtskocka
aubergine,aubergine
eggplant,äggplanta
asparagus,sparris
legumes,baljväxter
alfalfa sprouts,alfalfa groddar
green beans,gröna bönor
peas,ärtor
mangetout,sockerärtor
snap peas,sockerärtor
broccoflower,broccoflower
broccoli,broccoli
calabrese,chilepeppar
brussels sprouts
cabbage,kål
kohlrabi,kålrabbi
Savoy cabbage,Savojkål
red cabbage,rödkål
cauliflower,blomkål
celery,selleri
endive,endiv
fiddleheads,strutbräcken
frisee,frisé
frisee salad,frisé sallad
fennel,fänkål
greens,grönsaker
bok choy,kinakål
beet greens,betor
collard greens,
kale,grönkål
mustard greens,senapsgrönsaker
daikon,asiatisk rättika
fennel,fänkål
lavender,lavender
cymbopogon,lemongrass
lemongrass,lemon grass
lettuce,sallad
arugula,rucola
rocket,ruccola
mushrooms,svamp
nettles,nässlor
spinach,spenat
okra,okra
onions,lökar
chives,gräslök
garlic,vitlök
leek,purjolök
onion,lök
red onion, rödlök
pickled onion,syltlök
shallot,schalottenlök
scallion,salladslök
peppers,paprika
capsicum,paprika
bell pepper,paprika
chili pepper,chili peppar
jalapeño,jalapeno
habanero,habanero
paprika,paprika
tabasco pepper,tabasco peppar
cayenne pepper,cayenne peppar
radicchio,rosésallat
radicchio,julsallat
rhubarb,rabarb
root vegetables,rotfrukter
beetroot,rödbeta
beet,beta
mangel-wurzel
carrot,morot
celeriac,celeri
corms,knölar
eddoe
konjac,Konjakknölkalla
taro,taro
water chestnut,vattenkastanj
ginger,ingefära
parsnip,palsternacka
rutabaga,kålrot
radish,rädisa
wasabi,wasabi
horseradish,pepparrot
white radish,vit rädisa
tubers,knölar
jicama,jicama
jerusalem artichoke
potato,potatis
sweet potato,sötpotatis
yam,jams
turnip,rova
spinach,spenat
salsify,haverrot
skirret,sockerrot
sweetcorn,majs
topinambur,Jerusalem artichoke
squash,squash
acorn squash,sommarsquash
bitter melon,Bittergurka
butternut squash,butternut squash
banana squash,squash
courgette,courgette
zucchini,zucchini
cucumber,gurka
delicata,Pajpumpa
gem squash
hubbard squash
marrow pumpkin, pumpa
squash,squash
spaghetti squash
tat soi
tomato,tomater
watercress,vattenkrasse
carrots,morötter
